,RELIANCE_rsi_dma_crossover,RELIANCE_macd_crossover,RELIANCE_vwap_reversion,TCS_rsi_dma_crossover,TCS_macd_crossover,TCS_vwap_reversion,INFY_rsi_dma_crossover,INFY_macd_crossover,INFY_vwap_reversion
2025-09-11,100000.0,99287.12,100000.0,100000.0,76406.45,100000.0,100000.0,101917.11,93069.46
2025-09-12,100000.0,99287.12,100000.0,100000.0,75748.19,100000.0,100000.0,101917.11,93069.46
2025-09-15,100000.0,99287.12,100000.0,100000.0,77042.63,100000.0,100000.0,101917.11,93069.46
2025-09-16,100000.0,99287.12,100000.0,100000.0,76602.41,100000.0,100000.0,101917.11,93069.46
2025-09-17,100000.0,99287.12,100000.0,100000.0,76394.03,100000.0,100000.0,101917.11,93069.46
2025-09-18,100000.0,99287.12,100000.0,100000.0,77279.76,100000.0,100000.0,101917.11,93069.46
2025-09-19,100000.0,99287.12,100000.0,100000.0,77252.16,100000.0,100000.0,101917.11,93069.46
2025-09-22,100000.0,99287.12,100000.0,100000.0,76407.37,100000.0,100000.0,101917.11,93069.46
2025-09-23,100000.0,99287.12,100000.0,100000.0,75221.49,100000.0,100000.0,101917.11,93069.46
2025-09-24,100000.0,99287.12,100000.0,100000.0,74386.36,100000.0,100000.0,101917.11,93069.46
2025-09-25,100000.0,99287.12,100000.0,100000.0,73190.45,100000.0,100000.0,100904.81,93069.46
2025-09-26,100000.0,99287.12,99393.17,100000.0,73190.45,100000.0,100000.0,101791.14,93069.46
2025-09-29,100000.0,99287.12,97983.67,100000.0,73190.45,100000.0,100000.0,100934.09,93069.46
2025-09-30,100000.0,99287.12,95226.42,100000.0,73190.45,100000.0,100000.0,97253.96,93069.46
2025-10-01,100000.0,99287.12,94640.42,100000.0,73190.45,100000.0,100000.0,96396.91,93069.46
2025-10-02,100000.0,99287.12,95925.67,100000.0,73190.45,100000.0,100000.0,93549.0,93069.46
2025-10-03,100000.0,99287.12,95002.92,100000.0,73190.45,100000.0,100000.0,93549.0,93069.46
2025-10-06,100000.0,99287.12,94949.17,100000.0,73190.45,100000.0,100000.0,93549.0,93069.46
2025-10-07,100000.0,99287.12,95499.42,100000.0,73190.45,100000.0,100000.0,93549.0,93069.46
2025-10-08,100000.0,99287.12,97995.17,100000.0,73190.45,100000.0,100000.0,93549.0,93069.46
2025-10-09,100000.0,99287.12,97023.92,100000.0,73550.75,100000.0,100000.0,93549.0,93069.46
2025-10-10,100000.0,99287.12,96862.92,100000.0,72028.61,100000.0,100000.0,93549.0,93069.46
2025-10-13,100000.0,99287.12,96192.92,100000.0,71913.15,100000.0,100000.0,93549.0,93069.46
2025-10-14,100000.0,99287.12,97040.67,100000.0,73515.12,100000.0,100000.0,93549.0,93069.46
2025-10-15,100000.0,99287.12,96954.42,100000.0,73515.12,100000.0,100000.0,93549.0,93069.46
2025-10-16,100000.0,99287.12,97885.92,100000.0,74956.58,100000.0,100000.0,93549.0,93069.46
2025-10-17,100000.0,99816.67,96086.62,100000.0,72302.61,100000.0,100000.0,93730.25,93069.46
2025-10-20,100000.0,100845.75,96086.62,100000.0,72302.61,100000.0,100000.0,93359.45,93069.46
2025-10-21,100000.0,98892.11,96086.62,100000.0,72302.61,100000.0,100000.0,91846.25,93069.46
2025-10-22,100000.0,100114.89,96086.62,100000.0,72302.61,100000.0,100000.0,90204.65,93069.46
2025-10-23,100000.0,99823.69,96086.62,100000.0,72302.61,100000.0,100000.0,89794.85,93069.46
2025-10-24,100000.0,97868.23,96086.62,100000.0,72302.61,100000.0,100000.0,88650.05,93069.46
2025-10-27,100000.0,100488.77,96086.62,100000.0,72302.61,100000.0,100000.0,88911.05,93069.46
2025-10-28,100000.0,101922.41,96086.62,100000.0,72302.61,100000.0,100000.0,88900.25,93069.46
2025-10-29,100000.0,102608.03,96086.62,100000.0,72302.61,100000.0,100000.0,86655.05,93069.46
2025-10-30,100000.0,102566.69,96086.62,100000.0,72302.61,100000.0,100000.0,85604.77,93069.46
2025-10-31,100000.0,103427.29,96086.62,100000.0,72302.61,100000.0,100000.0,85604.77,93069.46
2025-11-03,100000.0,100935.97,96086.62,100000.0,72302.61,100000.0,100000.0,85604.77,93069.46
2025-11-04,100000.0,100542.33,96086.62,100000.0,72302.61,100000.0,100000.0,85655.22,93069.46
2025-11-05,100000.0,101826.47,96086.62,100000.0,72302.61,100000.0,100000.0,89174.4,93069.46
2025-11-06,100000.0,103175.61,96086.62,100000.0,72302.61,100000.0,100000.0,87761.94,93069.46
2025-11-07,100000.0,101904.47,96086.62,100000.0,72302.61,100000.0,100000.0,87083.07,93069.46
2025-11-10,100000.0,103352.15,96086.62,100000.0,72302.61,100000.0,100000.0,86381.97,93069.46
2025-11-11,100000.0,102709.95,96086.62,100000.0,72302.61,100000.0,100000.0,85827.93,93069.46
2025-11-12,100000.0,105195.29,96086.62,100000.0,72302.61,100000.0,100000.0,87262.62,93069.46
2025-11-13,100000.0,102996.73,96086.62,100000.0,72302.61,100000.0,100000.0,86994.72,93069.46
2025-11-14,100000.0,102778.59,96086.62,100000.0,72302.61,100000.0,100000.0,85447.74,93069.46
2025-11-17,100000.0,103652.19,96086.62,100000.0,72302.61,100000.0,100000.0,87542.49,93069.46
2025-11-18,100000.0,102588.01,96086.62,100000.0,72302.61,100000.0,100000.0,86411.61,93069.46
